"response_id","q1_relationship","q1_other_note","q2_years","q3_attractions","q3_other","q4_interests","q5_visits","q6_days","q7_reason","q7_other","q8_transport","q8_other","q9_migration","q10_engagement","q10_details","q11_skills","q11_other"
"12","③ 居住経験","","⑧ 25～30年未満","④ 観光|② 都市機能|⑥ 人柄・土地柄","","③ ご当地ニュース","① 0回","② 1～2日","③ 仕事","","④ 船舶","","② 関心あり","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","⑪ その他【自由記述】","データ分析および生成AIの活用"
"13","⑤ 仕事","","④ 5～10年未満","⑥ 人柄・土地柄|③ 歴史・文化|⑧ 著名人・作品のゆかりがある","","② 地域の魅力","④ 5～10回","⑧ 30日以上","④ 担い手活動","","④ 船舶","","④ 特に希望しない","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","⑨ 交通",""
"14","① 住所地","","⑧ 25～30年未満","","","","","","","","","","","","","③ 教育・保育",""
"15","⑧ その他【自由記述】","学生時代のボランティア活動の拠点","② 2～3年未満","⑥ 人柄・土地柄|③ 歴史・文化|④ 観光","","① イベント","④ 5～10回","④ 6～9日","⑥ その他【自由記述】","伝統的な祭りに参加するため","⑤ その他【自由記述】","高速バスの回数券を利用","② 関心あり","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑦ 建築・土木",""
"16","⑥ 観光","","④ 5～10年未満","⑦ 居住地との距離|⑤ 特産品|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","③ ご当地ニュース","① 0回","⑤ 10～14日","④ 担い手活動","","① 自家用車","","③ いずれ検討する可能性がある","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","④ デジタル",""
"17","④ 親戚・知人","","⑧ 25～30年未満","⑤ 特産品|⑥ 人柄・土地柄|② 都市機能","","③ ご当地ニュース","③ 2～4回","③ 3～5日","② 親戚・知人との交流","","⑤ その他【自由記述】","高速バスの回数券を利用","③ いずれ検討する可能性がある","⓪ 未定","","② 医療・介護",""
"18","③ 居住経験","","⑨ 30年以上","⑧ 著名人・作品のゆかりがある|④ 観光|⑦ 居住地との距離","","① イベント","② 1回","⑧ 30日以上","② 親戚・知人との交流","","③ 飛行機","","③ いずれ検討する可能性がある","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","④ デジタル",""
"19","⑤ 仕事","","④ 5～10年未満","④ 観光|① 自然|③ 歴史・文化","","③ ご当地ニュース","③ 2～4回","⑦ 20～29日","③ 仕事","","② 鉄道","","② 関心あり","② 定期的な訪問","","③ 教育・保育",""
"20","⑨ 特にない","","① 1年未満","⑧ 著名人・作品のゆかりがある|② 都市機能|① 自然","","④ 担い手募集","④ 5～10回","③ 3～5日","④ 担い手活動","","④ 船舶","","① 具体的に検討中","⓪ 未定","","③ 教育・保育",""
"21","⑨ 特にない","","⑨ 30年以上","④ 観光|⑤ 特産品|⑥ 人柄・土地柄","","③ ご当地ニュース","⑤ 11回以上","⑥ 15～19日","④ 担い手活動","","① 自家用車","","④ 特に希望しない","② 定期的な訪問","","⑤ 広報",""
"22","③ 居住経験","","⑧ 25～30年未満","⑥ 人柄・土地柄|⑦ 居住地との距離|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","② 地域の魅力","① 0回","⑧ 30日以上","① 帰省","","① 自家用車","","① 具体的に検討中","⓪ 未定","","② 医療・介護",""
"23","⑨ 特にない","","⑥ 15～20年未満","⑨ その他【自由記述】|⑥ 人柄・土地柄|⑦ 居住地との距離","地元の温泉文化と食事が素晴らしい","① イベント","④ 5～10回","③ 3～5日","③ 仕事","","② 鉄道","","③ いずれ検討する可能性がある","⓪ 未定","","⑦ 建築・土木",""
"24","⑤ 仕事","","④ 5～10年未満","⑦ 居住地との距離|⑨ その他【自由記述】|③ 歴史・文化","地元の温泉文化と食事が素晴らしい","① イベント","③ 2～4回","④ 6～9日","① 帰省","","③ 飛行機","","④ 特に希望しない","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑦ 建築・土木",""
"25","⑦ ふるさと納税","","⑨ 30年以上","⑦ 居住地との距離|② 都市機能|④ 観光","","① イベント","⑤ 11回以上","② 1～2日","③ 仕事","","⑤ その他【自由記述】","高速バスの回数券を利用","③ いずれ検討する可能性がある","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","① まちづくり",""
"26","② 出身","","① 1年未満","⑤ 特産品|⑥ 人柄・土地柄|① 自然","","③ ご当地ニュース","③ 2～4回","④ 6～9日","② 親戚・知人との交流","","② 鉄道","","③ いずれ検討する可能性がある","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","① まちづくり",""
"27","④ 親戚・知人","","③ 3～5年未満","③ 歴史・文化|⑦ 居住地との距離|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","① イベント","③ 2～4回","⑥ 15～19日","④ 担い手活動","","⑤ その他【自由記述】","高速バスの回数券を利用","② 関心あり","⓪ 未定","","⑦ 建築・土木",""
"28","② 出身","","③ 3～5年未満","⑦ 居住地との距離|⑨ その他【自由記述】|③ 歴史・文化","地元の温泉文化と食事が素晴らしい","④ 担い手募集","⑤ 11回以上","③ 3～5日","③ 仕事","","⑤ その他【自由記述】","高速バスの回数券を利用","④ 特に希望しない","② 定期的な訪問","","⑨ 交通",""
"29","⑨ 特にない","","③ 3～5年未満","⑤ 特産品|④ 観光|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","① イベント","③ 2～4回","④ 6～9日","③ 仕事","","④ 船舶","","④ 特に希望しない","⓪ 未定","","② 医療・介護",""
"30","③ 居住経験","","⑤ 10～15年未満","⑨ その他【自由記述】|⑦ 居住地との距離|① 自然","地元の温泉文化と食事が素晴らしい","① イベント","④ 5～10回","④ 6～9日","① 帰省","","③ 飛行機","","④ 特に希望しない","② 定期的な訪問","","⑪ その他【自由記述】","データ分析および生成AIの活用"
"31","② 出身","","① 1年未満","⑧ 著名人・作品のゆかりがある|⑥ 人柄・土地柄|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","① イベント","③ 2～4回","① 0日","⑤ 観光・イベント","","① 自家用車","","④ 特に希望しない","⓪ 未定","","④ デジタル",""
"32","⑦ ふるさと納税","","⑧ 25～30年未満","② 都市機能|⑧ 著名人・作品のゆかりがある|⑦ 居住地との距離","","③ ご当地ニュース","① 0回","⑥ 15～19日","② 親戚・知人との交流","","② 鉄道","","④ 特に希望しない","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","④ デジタル",""
"33","⑦ ふるさと納税","","② 2～3年未満","⑤ 特産品|⑦ 居住地との距離|② 都市機能","","① イベント","⑤ 11回以上","④ 6～9日","② 親戚・知人との交流","","① 自家用車","","① 具体的に検討中","⓪ 未定","","③ 教育・保育",""
"34","⑨ 特にない","","⑥ 15～20年未満","② 都市機能|① 自然|⑦ 居住地との距離","","③ ご当地ニュース","② 1回","① 0日","⑥ その他【自由記述】","伝統的な祭りに参加するため","② 鉄道","","② 関心あり","⓪ 未定","","③ 教育・保育",""
"35","⑤ 仕事","","④ 5～10年未満","⑦ 居住地との距離|② 都市機能|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","② 地域の魅力","① 0回","① 0日","② 親戚・知人との交流","","④ 船舶","","④ 特に希望しない","② 定期的な訪問","","④ デジタル",""
"36","⑤ 仕事","","⑦ 20～25年未満","⑨ その他【自由記述】|⑤ 特産品|③ 歴史・文化","地元の温泉文化と食事が素晴らしい","② 地域の魅力","③ 2～4回","⑥ 15～19日","③ 仕事","","④ 船舶","","① 具体的に検討中","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","② 医療・介護",""
"37","⑤ 仕事","","⑥ 15～20年未満","⑧ 著名人・作品のゆかりがある|① 自然|④ 観光","","③ ご当地ニュース","③ 2～4回","④ 6～9日","① 帰省","","④ 船舶","","④ 特に希望しない","② 定期的な訪問","","⑪ その他【自由記述】","データ分析および生成AIの活用"
"38","⑥ 観光","","④ 5～10年未満","① 自然|⑨ その他【自由記述】|③ 歴史・文化","地元の温泉文化と食事が素晴らしい","③ ご当地ニュース","① 0回","⑥ 15～19日","⑤ 観光・イベント","","③ 飛行機","","② 関心あり","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑦ 建築・土木",""
"39","④ 親戚・知人","","⑨ 30年以上","② 都市機能|⑧ 著名人・作品のゆかりがある|⑦ 居住地との距離","","① イベント","③ 2～4回","① 0日","④ 担い手活動","","③ 飛行機","","④ 特に希望しない","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","② 医療・介護",""
"40","⑧ その他【自由記述】","学生時代のボランティア活動の拠点","⑥ 15～20年未満","③ 歴史・文化|⑤ 特産品|⑥ 人柄・土地柄","","① イベント","⑤ 11回以上","① 0日","④ 担い手活動","","④ 船舶","","② 関心あり","⓪ 未定","","④ デジタル",""
"41","⑧ その他【自由記述】","学生時代のボランティア活動の拠点","⑤ 10～15年未満","⑧ 著名人・作品のゆかりがある|⑦ 居住地との距離|⑤ 特産品","","① イベント","④ 5～10回","⑥ 15～19日","⑤ 観光・イベント","","④ 船舶","","② 関心あり","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑤ 広報",""
"42","④ 親戚・知人","","⑥ 15～20年未満","⑦ 居住地との距離|⑤ 特産品|① 自然","","③ ご当地ニュース","② 1回","⑥ 15～19日","④ 担い手活動","","② 鉄道","","③ いずれ検討する可能性がある","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","⑨ 交通",""
"43","② 出身","","① 1年未満","⑤ 特産品|⑧ 著名人・作品のゆかりがある|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","④ 担い手募集","③ 2～4回","② 1～2日","④ 担い手活動","","① 自家用車","","② 関心あり","② 定期的な訪問","","⑨ 交通",""
"44","⑦ ふるさと納税","","④ 5～10年未満","③ 歴史・文化|⑨ その他【自由記述】|② 都市機能","地元の温泉文化と食事が素晴らしい","④ 担い手募集","④ 5～10回","② 1～2日","⑥ その他【自由記述】","伝統的な祭りに参加するため","④ 船舶","","② 関心あり","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑨ 交通",""
"45","⑥ 観光","","⑤ 10～15年未満","⑦ 居住地との距離|④ 観光|⑤ 特産品","","③ ご当地ニュース","④ 5～10回","⑥ 15～19日","⑤ 観光・イベント","","⑤ その他【自由記述】","高速バスの回数券を利用","④ 特に希望しない","② 定期的な訪問","","⑪ その他【自由記述】","データ分析および生成AIの活用"
"46","⑨ 特にない","","④ 5～10年未満","⑨ その他【自由記述】|⑧ 著名人・作品のゆかりがある|③ 歴史・文化","地元の温泉文化と食事が素晴らしい","② 地域の魅力","② 1回","⑦ 20～29日","④ 担い手活動","","② 鉄道","","① 具体的に検討中","② 定期的な訪問","","⑦ 建築・土木",""
"47","⑧ その他【自由記述】","学生時代のボランティア活動の拠点","① 1年未満","③ 歴史・文化|⑥ 人柄・土地柄|⑤ 特産品","","③ ご当地ニュース","③ 2～4回","⑥ 15～19日","⑤ 観光・イベント","","① 自家用車","","③ いずれ検討する可能性がある","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","⑩ 農林水産",""
"48","① 住所地","","④ 5～10年未満","","","","","","","","","","","","","⑧ 国際",""
"49","⑥ 観光","","⑥ 15～20年未満","⑥ 人柄・土地柄|⑨ その他【自由記述】|③ 歴史・文化","地元の温泉文化と食事が素晴らしい","③ ご当地ニュース","⑤ 11回以上","① 0日","② 親戚・知人との交流","","③ 飛行機","","③ いずれ検討する可能性がある","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑨ 交通",""
"50","⑤ 仕事","","⑧ 25～30年未満","⑨ その他【自由記述】|④ 観光|③ 歴史・文化","地元の温泉文化と食事が素晴らしい","① イベント","③ 2～4回","① 0日","① 帰省","","② 鉄道","","② 関心あり","⓪ 未定","","① まちづくり",""
"51","② 出身","","⑧ 25～30年未満","④ 観光|⑦ 居住地との距離|② 都市機能","","① イベント","③ 2～4回","① 0日","⑥ その他【自由記述】","伝統的な祭りに参加するため","① 自家用車","","③ いずれ検討する可能性がある","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑧ 国際",""
"52","⑤ 仕事","","⑦ 20～25年未満","⑦ 居住地との距離|② 都市機能|④ 観光","","③ ご当地ニュース","① 0回","⑧ 30日以上","③ 仕事","","① 自家用車","","② 関心あり","② 定期的な訪問","","⑤ 広報",""
"53","① 住所地","","⑧ 25～30年未満","","","","","","","","","","","","","② 医療・介護",""
"54","⑦ ふるさと納税","","③ 3～5年未満","② 都市機能|① 自然|⑧ 著名人・作品のゆかりがある","","① イベント","① 0回","① 0日","⑥ その他【自由記述】","伝統的な祭りに参加するため","④ 船舶","","③ いずれ検討する可能性がある","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑩ 農林水産",""
"55","⑥ 観光","","⑨ 30年以上","⑥ 人柄・土地柄|③ 歴史・文化|② 都市機能","","③ ご当地ニュース","④ 5～10回","③ 3～5日","④ 担い手活動","","② 鉄道","","② 関心あり","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","④ デジタル",""
"56","⑥ 観光","","③ 3～5年未満","⑨ その他【自由記述】|④ 観光|⑧ 著名人・作品のゆかりがある","地元の温泉文化と食事が素晴らしい","④ 担い手募集","② 1回","① 0日","⑤ 観光・イベント","","④ 船舶","","③ いずれ検討する可能性がある","② 定期的な訪問","","⑩ 農林水産",""
"57","⑦ ふるさと納税","","① 1年未満","③ 歴史・文化|④ 観光|⑧ 著名人・作品のゆかりがある","","④ 担い手募集","⑤ 11回以上","② 1～2日","⑤ 観光・イベント","","③ 飛行機","","① 具体的に検討中","⓪ 未定","","③ 教育・保育",""
"58","⑨ 特にない","","⑧ 25～30年未満","⑤ 特産品|③ 歴史・文化|⑧ 著名人・作品のゆかりがある","","④ 担い手募集","⑤ 11回以上","⑦ 20～29日","⑥ その他【自由記述】","伝統的な祭りに参加するため","① 自家用車","","④ 特に希望しない","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","⑦ 建築・土木",""
"59","④ 親戚・知人","","① 1年未満","⑤ 特産品|⑧ 著名人・作品のゆかりがある|① 自然","","④ 担い手募集","⑤ 11回以上","⑧ 30日以上","① 帰省","","① 自家用車","","④ 特に希望しない","⓪ 未定","","⑥ 経営支援",""
"60","③ 居住経験","","⑥ 15～20年未満","⑦ 居住地との距離|③ 歴史・文化|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","④ 担い手募集","① 0回","⑤ 10～14日","⑤ 観光・イベント","","⑤ その他【自由記述】","高速バスの回数券を利用","③ いずれ検討する可能性がある","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","③ 教育・保育",""
"61","⑥ 観光","","② 2～3年未満","⑨ その他【自由記述】|③ 歴史・文化|① 自然","地元の温泉文化と食事が素晴らしい","③ ご当地ニュース","③ 2～4回","⑧ 30日以上","④ 担い手活動","","③ 飛行機","","② 関心あり","② 定期的な訪問","","⑧ 国際",""
"62","⑧ その他【自由記述】","学生時代のボランティア活動の拠点","② 2～3年未満","⑤ 特産品|⑨ その他【自由記述】|④ 観光","地元の温泉文化と食事が素晴らしい","③ ご当地ニュース","③ 2～4回","⑦ 20～29日","② 親戚・知人との交流","","④ 船舶","","② 関心あり","② 定期的な訪問","","③ 教育・保育",""
"63","③ 居住経験","","① 1年未満","④ 観光|⑤ 特産品|① 自然","","④ 担い手募集","⑤ 11回以上","⑤ 10～14日","⑤ 観光・イベント","","③ 飛行機","","④ 特に希望しない","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑦ 建築・土木",""
"64","③ 居住経験","","⑤ 10～15年未満","⑨ その他【自由記述】|① 自然|⑤ 特産品","地元の温泉文化と食事が素晴らしい","② 地域の魅力","② 1回","⑦ 20～29日","⑥ その他【自由記述】","伝統的な祭りに参加するため","④ 船舶","","① 具体的に検討中","⓪ 未定","","② 医療・介護",""
"65","⑦ ふるさと納税","","⑥ 15～20年未満","② 都市機能|⑤ 特産品|① 自然","","① イベント","④ 5～10回","⑧ 30日以上","⑥ その他【自由記述】","伝統的な祭りに参加するため","③ 飛行機","","② 関心あり","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","④ デジタル",""
"66","⑤ 仕事","","⑤ 10～15年未満","⑤ 特産品|④ 観光|⑧ 著名人・作品のゆかりがある","","④ 担い手募集","④ 5～10回","③ 3～5日","④ 担い手活動","","⑤ その他【自由記述】","高速バスの回数券を利用","④ 特に希望しない","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑧ 国際",""
"67","④ 親戚・知人","","⑦ 20～25年未満","⑧ 著名人・作品のゆかりがある|⑦ 居住地との距離|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","① イベント","② 1回","④ 6～9日","⑥ その他【自由記述】","伝統的な祭りに参加するため","④ 船舶","","③ いずれ検討する可能性がある","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑨ 交通",""
"68","⑧ その他【自由記述】","学生時代のボランティア活動の拠点","⑤ 10～15年未満","④ 観光|③ 歴史・文化|⑥ 人柄・土地柄","","② 地域の魅力","④ 5～10回","③ 3～5日","② 親戚・知人との交流","","① 自家用車","","① 具体的に検討中","② 定期的な訪問","","① まちづくり",""
"69","⑧ その他【自由記述】","学生時代のボランティア活動の拠点","② 2～3年未満","⑧ 著名人・作品のゆかりがある|③ 歴史・文化|⑥ 人柄・土地柄","","① イベント","① 0回","⑧ 30日以上","③ 仕事","","② 鉄道","","④ 特に希望しない","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑪ その他【自由記述】","データ分析および生成AIの活用"
"70","④ 親戚・知人","","⑥ 15～20年未満","② 都市機能|⑥ 人柄・土地柄|⑦ 居住地との距離","","① イベント","③ 2～4回","⑥ 15～19日","③ 仕事","","② 鉄道","","② 関心あり","⓪ 未定","","③ 教育・保育",""
"71","⑥ 観光","","⑥ 15～20年未満","⑧ 著名人・作品のゆかりがある|② 都市機能|③ 歴史・文化","","② 地域の魅力","② 1回","④ 6～9日","③ 仕事","","④ 船舶","","② 関心あり","⓪ 未定","","② 医療・介護",""
"72","② 出身","","⑥ 15～20年未満","⑧ 著名人・作品のゆかりがある|⑥ 人柄・土地柄|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","④ 担い手募集","② 1回","① 0日","① 帰省","","③ 飛行機","","④ 特に希望しない","② 定期的な訪問","","⑦ 建築・土木",""
"73","⑨ 特にない","","② 2～3年未満","③ 歴史・文化|⑥ 人柄・土地柄|④ 観光","","③ ご当地ニュース","① 0回","③ 3～5日","⑥ その他【自由記述】","伝統的な祭りに参加するため","③ 飛行機","","① 具体的に検討中","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","① まちづくり",""
"74","⑤ 仕事","","③ 3～5年未満","① 自然|④ 観光|⑦ 居住地との距離","","① イベント","② 1回","③ 3～5日","① 帰省","","② 鉄道","","① 具体的に検討中","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","③ 教育・保育",""
"75","③ 居住経験","","⑦ 20～25年未満","⑤ 特産品|④ 観光|⑦ 居住地との距離","","④ 担い手募集","⑤ 11回以上","① 0日","③ 仕事","","⑤ その他【自由記述】","高速バスの回数券を利用","③ いずれ検討する可能性がある","⓪ 未定","","⑨ 交通",""
"76","② 出身","","⑤ 10～15年未満","⑥ 人柄・土地柄|⑨ その他【自由記述】|⑧ 著名人・作品のゆかりがある","地元の温泉文化と食事が素晴らしい","① イベント","④ 5～10回","① 0日","④ 担い手活動","","② 鉄道","","④ 特に希望しない","② 定期的な訪問","","⑨ 交通",""
"77","⑦ ふるさと納税","","⑧ 25～30年未満","⑥ 人柄・土地柄|② 都市機能|③ 歴史・文化","","② 地域の魅力","③ 2～4回","② 1～2日","③ 仕事","","① 自家用車","","① 具体的に検討中","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","⑧ 国際",""
"78","② 出身","","⑤ 10～15年未満","② 都市機能|⑨ その他【自由記述】|① 自然","地元の温泉文化と食事が素晴らしい","① イベント","① 0回","⑦ 20～29日","① 帰省","","⑤ その他【自由記述】","高速バスの回数券を利用","④ 特に希望しない","⓪ 未定","","⑩ 農林水産",""
"79","③ 居住経験","","③ 3～5年未満","① 自然|⑤ 特産品|④ 観光","","④ 担い手募集","⑤ 11回以上","⑥ 15～19日","① 帰省","","③ 飛行機","","④ 特に希望しない","② 定期的な訪問","","⑤ 広報",""
"80","④ 親戚・知人","","⑤ 10～15年未満","③ 歴史・文化|⑨ その他【自由記述】|② 都市機能","地元の温泉文化と食事が素晴らしい","① イベント","① 0回","⑤ 10～14日","③ 仕事","","③ 飛行機","","② 関心あり","② 定期的な訪問","","⑨ 交通",""
"81","① 住所地","","⑦ 20～25年未満","","","","","","","","","","","","","③ 教育・保育",""
"82","② 出身","","⑧ 25～30年未満","⑨ その他【自由記述】|⑦ 居住地との距離|② 都市機能","地元の温泉文化と食事が素晴らしい","④ 担い手募集","③ 2～4回","⑤ 10～14日","④ 担い手活動","","① 自家用車","","③ いずれ検討する可能性がある","② 定期的な訪問","","① まちづくり",""
"83","⑤ 仕事","","③ 3～5年未満","③ 歴史・文化|⑧ 著名人・作品のゆかりがある|⑤ 特産品","","① イベント","② 1回","⑥ 15～19日","① 帰省","","⑤ その他【自由記述】","高速バスの回数券を利用","② 関心あり","⓪ 未定","","⑧ 国際",""
"84","③ 居住経験","","⑧ 25～30年未満","③ 歴史・文化|⑥ 人柄・土地柄|⑦ 居住地との距離","","① イベント","④ 5～10回","⑦ 20～29日","① 帰省","","⑤ その他【自由記述】","高速バスの回数券を利用","④ 特に希望しない","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","① まちづくり",""
"85","② 出身","","④ 5～10年未満","⑤ 特産品|① 自然|② 都市機能","","③ ご当地ニュース","② 1回","① 0日","② 親戚・知人との交流","","⑤ その他【自由記述】","高速バスの回数券を利用","① 具体的に検討中","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑧ 国際",""
"86","③ 居住経験","","⑤ 10～15年未満","⑤ 特産品|⑦ 居住地との距離|⑥ 人柄・土地柄","","③ ご当地ニュース","③ 2～4回","② 1～2日","③ 仕事","","③ 飛行機","","③ いずれ検討する可能性がある","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","④ デジタル",""
"87","① 住所地","","⑨ 30年以上","","","","","","","","","","","","","① まちづくり",""
"88","⑨ 特にない","","④ 5～10年未満","⑥ 人柄・土地柄|⑤ 特産品|⑦ 居住地との距離","","③ ご当地ニュース","⑤ 11回以上","⑦ 20～29日","⑤ 観光・イベント","","④ 船舶","","③ いずれ検討する可能性がある","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","④ デジタル",""
"89","③ 居住経験","","④ 5～10年未満","⑥ 人柄・土地柄|④ 観光|③ 歴史・文化","","④ 担い手募集","④ 5～10回","⑧ 30日以上","③ 仕事","","② 鉄道","","④ 特に希望しない","② 定期的な訪問","","⑩ 農林水産",""
"90","③ 居住経験","","① 1年未満","⑤ 特産品|① 自然|③ 歴史・文化","","④ 担い手募集","③ 2～4回","⑦ 20～29日","② 親戚・知人との交流","","③ 飛行機","","① 具体的に検討中","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","② 医療・介護",""
"91","① 住所地","","② 2～3年未満","","","","","","","","","","","","","⑨ 交通",""
"92","② 出身","","① 1年未満","⑧ 著名人・作品のゆかりがある|① 自然|④ 観光","","③ ご当地ニュース","④ 5～10回","② 1～2日","④ 担い手活動","","④ 船舶","","③ いずれ検討する可能性がある","⓪ 未定","","⑪ その他【自由記述】","データ分析および生成AIの活用"
"93","② 出身","","⑤ 10～15年未満","⑦ 居住地との距離|⑤ 特産品|② 都市機能","","④ 担い手募集","⑤ 11回以上","① 0日","⑥ その他【自由記述】","伝統的な祭りに参加するため","① 自家用車","","① 具体的に検討中","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","③ 教育・保育",""
"94","⑨ 特にない","","⑨ 30年以上","⑦ 居住地との距離|① 自然|⑥ 人柄・土地柄","","① イベント","② 1回","③ 3～5日","① 帰省","","④ 船舶","","② 関心あり","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","② 医療・介護",""
"95","① 住所地","","⑤ 10～15年未満","","","","","","","","","","","","","⑩ 農林水産",""
